ThreatCount,CompName,MITREID,Technique,Tactic,Matrix,Likelihood,Impact,Detectability,Risk,Rating,Rec.Mitigations
315,SIS-AI Server,T1090,Proxy,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['SSL/TLS Inspection', 'Network Intrusion Prevention', 'Filter Network Traffic']"
316,SIS-AI Server,T1087,Account Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,['Operating System Configuration']
317,SIS-AI Server,T1083,File and Directory Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
318,SIS-AI Server,T1082,System Information Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
319,SIS-AI Server,T1080,Taint Shared Content,lateral-movement,Enterprise,"1,04832948","0,363636363","0,4","0,1524842877331525",Low,"['Restrict File and Directory Permissions', 'Exploit Protection', 'Execution Prevention']"
320,SIS-AI Server,T1078,Valid Accounts,defense-evasion,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,"['User Account Management', 'Password Policies', 'Account Use Policies', 'Active Directory Configuration', 'Application Developer Guidance', 'Privileged Account Management', 'User Training']"
321,SIS-AI Server,T1078,Valid Accounts,persistence,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,"['User Account Management', 'Password Policies', 'Account Use Policies', 'Active Directory Configuration', 'Application Developer Guidance', 'Privileged Account Management', 'User Training']"
322,SIS-AI Server,T1078,Valid Accounts,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,"['User Account Management', 'Password Policies', 'Account Use Policies', 'Active Directory Configuration', 'Application Developer Guidance', 'Privileged Account Management', 'User Training']"
323,SIS-AI Server,T1078,Valid Accounts,initial-access,Enterprise,"1,83457659","0,363636363","0,30000000000000004","0,2001356276497627",Low,"['User Account Management', 'Password Policies', 'Account Use Policies', 'Active Directory Configuration', 'Application Developer Guidance', 'Privileged Account Management', 'User Training']"
324,SIS-AI Server,T1074,Data Staged,collection,Enterprise,"1,4372259","0,583636363",1,"0,8388172970854018",Low,[]
325,SIS-AI Server,T1072,Software Deployment Tools,execution,Enterprise,"1,181753232","0,64556691","0,19999999999999996","0,1525801564729506",Low,"['Remote Data Storage', 'User Account Management', 'Password Policies', 'Active Directory Configuration', 'Update Software', 'Privileged Account Management', 'Multi-factor Authentication', 'User Training', 'Network Segmentation']"
326,SIS-AI Server,T1072,Software Deployment Tools,lateral-movement,Enterprise,"1,181753232","0,363636363","0,19999999999999996","0,08594568944959502",Low,"['Remote Data Storage', 'User Account Management', 'Password Policies', 'Active Directory Configuration', 'Update Software', 'Privileged Account Management', 'Multi-factor Authentication', 'User Training', 'Network Segmentation']"
327,SIS-AI Server,T1071,Application Layer Protocol,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
328,SIS-AI Server,T1070,Indicator Removal,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,"['Encrypt Sensitive Information', 'Remote Data Storage', 'Restrict File and Directory Permissions']"
329,SIS-AI Server,T1069,Permission Groups Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
330,SIS-AI Server,T1068,Exploitation for Privilege Escalation,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997","0,19999999999999996","0,0719026608266671",Low,"['Exploit Protection', 'Application Isolation and Sandboxing', 'Execution Prevention', 'Update Software', 'Threat Intelligence Program']"
331,SIS-AI Server,T1059,Command and Scripting Interpreter,execution,Enterprise,"3,887042775","0,64556691","0,4","1,0037384773178302",Low,"['Restrict Web-Based Content', 'Disable or Remove Feature or Program', 'Antivirus/Antimalware', 'Code Signing', 'Execution Prevention', 'Privileged Account Management', 'Behavior Prevention on Endpoint']"
332,SIS-AI Server,T1057,Process Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
333,SIS-AI Server,T1056,Input Capture,collection,Enterprise,"1,04832948","0,583636363",1,"0,6118432049328812",Low,[]
334,SIS-AI Server,T1056,Input Capture,credential-access,Enterprise,"1,04832948","0,363636363",1,"0,38121071933288125",Low,[]
335,SIS-AI Server,T1055,Process Injection,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,"['Behavior Prevention on Endpoint', 'Privileged Account Management']"
336,SIS-AI Server,T1055,Process Injection,privilege-escalation,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,"['Behavior Prevention on Endpoint', 'Privileged Account Management']"
337,SIS-AI Server,T1053,Scheduled Task/Job,execution,Enterprise,"2,83525473","0,64556691","0,4","0,7321386540435938",Low,"['Audit', 'User Account Management', 'Operating System Configuration', 'Privileged Account Management']"
338,SIS-AI Server,T1053,Scheduled Task/Job,persistence,Enterprise,"2,83525473","0,19596527399999997","0,4","0,22224458800969837",Low,"['Audit', 'User Account Management', 'Operating System Configuration', 'Privileged Account Management']"
339,SIS-AI Server,T1053,Scheduled Task/Job,privilege-escalation,Enterprise,"2,83525473","0,19596527399999997","0,4","0,22224458800969837",Low,"['Audit', 'User Account Management', 'Operating System Configuration', 'Privileged Account Management']"
340,SIS-AI Server,T1052,Exfiltration Over Physical Medium,exfiltration,Enterprise,"0,9145983","0,583636363","0,19999999999999996","0,10675856508359656",Low,"['Limit Hardware Installation', 'Disable or Remove Feature or Program', 'Data Loss Prevention']"
341,SIS-AI Server,T1049,System Network Connections Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
342,SIS-AI Server,T1048,Exfiltration Over Alternative Protocol,exfiltration,Enterprise,"1,4372259","0,583636363","0,19999999999999996","0,16776345941708032",Low,"['User Account Management', 'Filter Network Traffic', 'Network Intrusion Prevention', 'Restrict File and Directory Permissions', 'Network Segmentation', 'Data Loss Prevention']"
343,SIS-AI Server,T1046,Network Service Discovery,discovery,Enterprise,"2,515145325","0,363636363","0,19999999999999996","0,18291965967989057",Low,"['Network Intrusion Prevention', 'Network Segmentation', 'Disable or Remove Feature or Program']"
344,SIS-AI Server,T1041,Exfiltration Over C2 Channel,exfiltration,Enterprise,"1,4372259","0,583636363","0,19999999999999996","0,16776345941708032",Low,"['Network Intrusion Prevention', 'Data Loss Prevention']"
345,SIS-AI Server,T1040,Network Sniffing,credential-access,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,"['Encrypt Sensitive Information', 'User Account Management', 'Multi-factor Authentication']"
346,SIS-AI Server,T1040,Network Sniffing,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,"['Encrypt Sensitive Information', 'User Account Management', 'Multi-factor Authentication']"
347,SIS-AI Server,T1039,Data from Network Shared Drive,collection,Enterprise,"2,515145325","0,583636363",1,"1,467930269899453",Low,[]
348,SIS-AI Server,T1037,Boot or Logon Initialization Scripts,persistence,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,"['Restrict File and Directory Permissions', 'Restrict Registry Permissions']"
349,SIS-AI Server,T1037,Boot or Logon Initialization Scripts,privilege-escalation,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,"['Restrict File and Directory Permissions', 'Restrict Registry Permissions']"
350,SIS-AI Server,T1036,Masquerading,defense-evasion,Enterprise,"1,4372259","0,19596527399999997","0,5","0,14082318364669827",Low,"['Antivirus/Antimalware', 'Code Signing', 'Execution Prevention', 'Restrict File and Directory Permissions', 'Behavior Prevention on Endpoint']"
351,SIS-AI Server,T1033,System Owner/User Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
352,SIS-AI Server,T1030,Data Transfer Size Limits,exfiltration,Enterprise,"3,887042775","0,583636363","0,19999999999999996","0,45372390160528536",Low,['Network Intrusion Prevention']
353,SIS-AI Server,T1029,Scheduled Transfer,exfiltration,Enterprise,"3,887042775","0,583636363","0,19999999999999996","0,45372390160528536",Low,['Network Intrusion Prevention']
354,SIS-AI Server,T1027,Obfuscated Files or Information,defense-evasion,Enterprise,"1,4372259","0,19596527399999997","0,4","0,11265854691735862",Low,"['Audit', 'Behavior Prevention on Endpoint', 'Antivirus/Antimalware']"
355,SIS-AI Server,T1025,Data from Removable Media,collection,Enterprise,"2,515145325","0,583636363",1,"1,467930269899453",Low,['Data Loss Prevention']
356,SIS-AI Server,T1021,Remote Services,lateral-movement,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,"['Multi-factor Authentication', 'User Account Management']"
357,SIS-AI Server,T1020,Automated Exfiltration,exfiltration,Enterprise,"2,515145325","0,583636363",1,"1,467930269899453",Low,[]
358,SIS-AI Server,T1018,Remote System Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
359,SIS-AI Server,T1016,System Network Configuration Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
360,SIS-AI Server,T1014,Rootkit,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,[]
361,SIS-AI Server,T1011,Exfiltration Over Other Network Medium,exfiltration,Enterprise,"1,4372259","0,583636363",1,"0,8388172970854018",Low,['Operating System Configuration']
362,SIS-AI Server,T1010,Application Window Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
363,SIS-AI Server,T1008,Fallback Channels,command-and-control,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Intrusion Prevention']
364,SIS-AI Server,T1007,System Service Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
365,SIS-AI Server,T1005,Data from Local System,collection,Enterprise,"2,515145325","0,583636363",1,"1,467930269899453",Low,['Data Loss Prevention']
366,SIS-AI Server,T1003,OS Credential Dumping,credential-access,Enterprise,"0,798928515","0,363636363","0,30000000000000004","0,08715583784747728",Low,"['Privileged Process Integrity', 'Operating System Configuration', 'Credential Access Protection', 'Password Policies', 'Active Directory Configuration', 'Encrypt Sensitive Information', 'Privileged Account Management', 'User Training', 'Behavior Prevention on Endpoint']"
367,SIS-AI Server,T1001,Data Obfuscation,command-and-control,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Intrusion Prevention']
368,SIS-AI Server,T0893,Data from Local System,collection,ICS,"2,515145325","0,583636363",1,"1,467930269899453",Low,"['Encrypt Sensitive Information', 'Restrict File and Directory Permissions', 'User Training', 'Data Loss Prevention']"
369,SIS-AI Server,T0891,Hardcoded Credentials,lateral-movement,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Access Management']
370,SIS-AI Server,T0891,Hardcoded Credentials,persistence,ICS,"3,887042775","0,19596527399999997","0,19999999999999996","0,152345080490519",Low,['Access Management']
371,SIS-AI Server,T0834,Native API,execution,ICS,"1,4372259","0,64556691",1,"0,927825483234969",Low,['Execution Prevention']
372,SIS-AI Server,T0886,Remote Services,initial-access,ICS,"1,4372259","0,363636363","0,19999999999999996","0,10452551981708033",Low,"['Network Allowlists', 'User Account Management', 'Password Policies', 'Authorization Enforcement', 'Filter Network Traffic', 'Access Management', 'Human User Authentication', 'Software Process and Device Authentication', 'Network Segmentation']"
373,SIS-AI Server,T0886,Remote Services,lateral-movement,ICS,"1,4372259","0,363636363","0,19999999999999996","0,10452551981708033",Low,"['Network Allowlists', 'User Account Management', 'Password Policies', 'Authorization Enforcement', 'Filter Network Traffic', 'Access Management', 'Human User Authentication', 'Software Process and Device Authentication', 'Network Segmentation']"
374,SIS-AI Server,T0829,Loss of View,impact,ICS,"2,2211673","0,363636363",1,"0,8076971985865299",Low,"['Data Backup', 'Redundancy of Service', 'Out-of-Band Communications Channel']"
375,SIS-AI Server,T0860,Wireless Compromise,initial-access,ICS,"3,887042775","0,363636363","0,30000000000000004","0,4240410292579283",Low,"['Software Process and Device Authentication', 'Minimize Wireless Signal Propagation', 'Communication Authenticity', 'Encrypt Network Traffic']"
376,SIS-AI Server,T0801,Monitor Process State,collection,ICS,"3,887042775","0,583636363",1,"2,2686195080264273",Low,['Mitigation Limited or Not Effective']
377,SIS-AI Server,T0811,Data from Information Repositories,collection,ICS,"3,887042775","0,583636363","0,4","0,907447803210571",Low,"['Restrict File and Directory Permissions', 'User Account Management', 'Encrypt Sensitive Information', 'Audit', 'Privileged Account Management', 'User Training']"
378,SIS-AI Server,T0802,Automated Collection,collection,ICS,"2,515145325","0,583636363","0,19999999999999996","0,2935860539798905",Low,"['Network Allowlists', 'Network Segmentation']"
379,SIS-AI Server,T0865,Spearphishing Attachment,initial-access,ICS,"1,83457659","0,363636363","0,19999999999999996","0,13342375176650842",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention', 'User Training', 'Antivirus/Antimalware']"
380,SIS-AI Server,T0866,Exploitation of Remote Services,initial-access,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Exploit Protection', 'Application Isolation and Sandboxing', 'Disable or Remove Feature or Program', 'Vulnerability Scanning', 'Update Software', 'Privileged Account Management', 'Threat Intelligence Program', 'Network Segmentation']"
381,SIS-AI Server,T0866,Exploitation of Remote Services,lateral-movement,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Exploit Protection', 'Application Isolation and Sandboxing', 'Disable or Remove Feature or Program', 'Vulnerability Scanning', 'Update Software', 'Privileged Account Management', 'Threat Intelligence Program', 'Network Segmentation']"
382,SIS-AI Server,T0830,Adversary-in-the-Middle,collection,ICS,"1,4372259","0,583636363","0,19999999999999996","0,16776345941708032",Low,"['Communication Authenticity', 'Disable or Remove Feature or Program', 'Static Network Configuration', 'Out-of-Band Communications Channel', 'Audit', 'Software Process and Device Authentication', 'Network Intrusion Prevention', 'Network Segmentation']"
383,SIS-AI Server,T0826,Loss of Availability,impact,ICS,"3,887042775","0,86556691",1,"3,364495603794575",Low,"['Out-of-Band Communications Channel', 'Redundancy of Service', 'Data Backup']"
384,SIS-AI Server,T0847,Replication Through Removable Media,initial-access,ICS,"0,9145983","0,363636363","0,19999999999999996","0,06651623988359658",Low,"['Limit Hardware Installation', 'Disable or Remove Feature or Program', 'Operating System Configuration']"
385,SIS-AI Server,T0846,Remote System Discovery,discovery,ICS,"2,515145325","0,363636363",1,"0,9145982983994531",Low,['Static Network Configuration']
386,SIS-AI Server,T0832,Manipulation of View,impact,ICS,"2,83525473","0,363636363",1,"1,031001718195747",Low,"['Out-of-Band Communications Channel', 'Communication Authenticity', 'Data Backup']"
387,SIS-AI Server,T0815,Denial of View,impact,ICS,"2,83525473","0,363636363",1,"1,031001718195747",Low,"['Data Backup', 'Redundancy of Service', 'Out-of-Band Communications Channel']"
388,SIS-AI Server,T0828,Loss of Productivity and Revenue,impact,ICS,"2,2211673","0,281930547",1,"0,626214911867513",Low,['Data Backup']
389,SIS-AI Server,T0856,Spoof Reporting Message,evasion,ICS,"2,515145325","0,19596527399999997","0,19999999999999996","0,09857622855268879",Low,"['Network Allowlists', 'Filter Network Traffic', 'Software Process and Device Authentication', 'Network Segmentation', 'Communication Authenticity']"
390,SIS-AI Server,T0856,Spoof Reporting Message,impair-process-control,ICS,"2,515145325","0,632031135","0,19999999999999996","0,3179300308899387",Low,"['Network Allowlists', 'Filter Network Traffic', 'Software Process and Device Authentication', 'Network Segmentation', 'Communication Authenticity']"
391,SIS-AI Server,T0885,Commonly Used Port,command-and-control,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Network Intrusion Prevention', 'Human User Authentication', 'Disable or Remove Feature or Program', 'Network Segmentation']"
392,SIS-AI Server,T0883,Internet Accessible Device,initial-access,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Segmentation']
393,SIS-AI Server,T0881,Service Stop,inhibit-response-function,ICS,"2,515145325","0,281930547","0,19999999999999996","0,14181925945234852",Low,"['Restrict File and Directory Permissions', 'User Account Management', 'Network Segmentation', 'Restrict Registry Permissions']"
394,SIS-AI Server,T0807,Command-Line Interface,execution,ICS,"2,515145325","0,64556691","0,4","0,6494778382644784",Low,"['Disable or Remove Feature or Program', 'Execution Prevention']"
395,SIS-AI Server,T0862,Supply Chain Compromise,initial-access,ICS,"1,4372259","0,363636363","0,19999999999999996","0,10452551981708033",Low,"['Vulnerability Scanning', 'Code Signing', 'Audit', 'Update Software', 'Supply Chain Management']"
396,SIS-AI Server,T0812,Default Credentials,lateral-movement,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Password Policies', 'Access Management']"
397,SIS-AI Server,T0882,Theft of Operational Information,impact,ICS,"3,887042775","0,583636363",1,"2,2686195080264273",Low,"['Encrypt Sensitive Information', 'Restrict File and Directory Permissions', 'Operational Information Confidentiality', 'Data Loss Prevention']"
398,SIS-AI Server,T0809,Data Destruction,inhibit-response-function,ICS,"2,515145325","0,281930547",1,"0,7090962972617427",Low,"['Restrict File and Directory Permissions', 'Data Backup', 'Privileged Account Management']"
399,SIS-AI Server,T0880,Loss of Safety,impact,ICS,"3,887042775","0,281930547",1,"1,0958760957681477",Low,"['Safety Instrumented Systems', 'Mechanical Protection Layers']"
400,SIS-AI Server,T0879,Damage to Property,impact,ICS,"3,887042775","0,501930547","0,5","0,9755127531340738",Low,"['Safety Instrumented Systems', 'Network Allowlists', 'Mechanical Protection Layers']"
401,SIS-AI Server,T0806,Brute Force I/O,impair-process-control,ICS,"1,4372259","0,632031135","0,19999999999999996","0,18167430336567925",Low,"['Filter Network Traffic', 'Network Allowlists', 'Network Segmentation', 'Software Process and Device Authentication']"
402,SIS-AI Server,T0848,Rogue Master,initial-access,ICS,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Network Allowlists', 'Filter Network Traffic', 'Software Process and Device Authentication', 'Network Segmentation', 'Communication Authenticity']"
403,SIS-AI Server,T0849,Masquerading,evasion,ICS,"1,4372259","0,19596527399999997","0,5","0,14082318364669827",Low,"['Restrict File and Directory Permissions', 'Code Signing', 'Execution Prevention']"
404,SIS-AI Server,T0859,Valid Accounts,persistence,ICS,"2,515145325","0,19596527399999997","0,19999999999999996","0,09857622855268879",Low,"['User Account Management', 'Filter Network Traffic', 'Password Policies', 'Access Management', 'Active Directory Configuration', 'Account Use Policies', 'Application Developer Guidance', 'Audit', 'Privileged Account Management', 'Multi-factor Authentication']"
405,SIS-AI Server,T0859,Valid Accounts,lateral-movement,ICS,"2,515145325","0,363636363","0,19999999999999996","0,18291965967989057",Low,"['User Account Management', 'Filter Network Traffic', 'Password Policies', 'Access Management', 'Active Directory Configuration', 'Account Use Policies', 'Application Developer Guidance', 'Audit', 'Privileged Account Management', 'Multi-factor Authentication']"
406,SIS-AI Server,T0869,Standard Application Layer Protocol,command-and-control,ICS,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Network Intrusion Prevention', 'Network Allowlists', 'Network Segmentation']"
407,SIS-AI Server,T0838,Modify Alarm Settings,inhibit-response-function,ICS,"1,4372259","0,281930547","0,19999999999999996","0,08103957682991343",Low,"['Network Allowlists', 'User Account Management', 'Authorization Enforcement', 'Access Management', 'Human User Authentication', 'Software Process and Device Authentication', 'Network Segmentation']"
408,SIS-AI Server,T0836,Modify Parameter,impair-process-control,ICS,"2,2211673","0,632031135","0,4","0,5615387558575542",Low,"['Audit', 'Authorization Enforcement', 'Validate Program Inputs']"
409,SIS-AI Server,T0831,Manipulation of Control,impact,ICS,"1,4372259","0,632031135",1,"0,9083715168283965",Low,"['Data Backup', 'Communication Authenticity', 'Out-of-Band Communications Channel']"
410,SIS-AI Server,T0861,Point & Tag Identification,collection,ICS,"3,887042775","0,583636363","0,19999999999999996","0,45372390160528536",Low,"['Network Allowlists', 'Communication Authenticity', 'Filter Network Traffic', 'Access Management', 'Authorization Enforcement', 'Human User Authentication', 'Software Process and Device Authentication', 'Network Segmentation']"
411,SIS-AI Server,T0822,External Remote Services,initial-access,ICS,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Limit Access to Resource Over Network', 'User Account Management', 'Disable or Remove Feature or Program', 'Password Policies', 'Account Use Policies', 'Multi-factor Authentication', 'Network Segmentation']"
412,SIS-AI Server,T0827,Loss of Control,impact,ICS,"2,2211673","0,632031135",1,"1,4038468896438854",Low,"['Data Backup', 'Redundancy of Service', 'Out-of-Band Communications Channel']"
413,SIS-AI Server,T0813,Denial of Control,impact,ICS,"2,2211673","0,632031135",1,"1,4038468896438854",Low,"['Out-of-Band Communications Channel', 'Redundancy of Service', 'Data Backup']"
414,SIS-AI Server,T0867,Lateral Tool Transfer,lateral-movement,ICS,"2,515145325","0,363636363","0,19999999999999996","0,18291965967989057",Low,['Network Intrusion Prevention']
415,SIS-AI Server,AML.T0006,Active Scanning,reconnaissance,ATLAS,"1,4372259","0,363636363",1,"0,5226275990854018",Low,[]
416,SIS-AI Server,AML.T0018,Backdoor ML Model,persistence,ATLAS,"1,62014556","0,19596527399999997",1,"0,3174922685852834",Low,[]
417,SIS-AI Server,AML.T0018,Backdoor ML Model,ml-attack-staging,ATLAS,"1,62014556","0,363636363",1,"0,5891438389689984",Low,[]
418,SIS-AI Server,AML.T0043.001,Black-Box Optimization,ml-attack-staging,ATLAS,"0,70554726","0,363636363","0,30000000000000004","0,07696879186530463",Low,"['Passive ML Output Obfuscation', 'Input Restoration', 'Restrict Number of ML Model Queries', 'Adversarial Input Detection']"
419,SIS-AI Server,AML.T0050,Command and Scripting Interpreter,execution,ATLAS,"1,62014556","0,64556691",1,"1,0459123629194196",Low,[]
420,SIS-AI Server,AML.T0034,Cost Harvesting,impact,ATLAS,"2,2211673","0,281930547",1,"0,626214911867513",Low,['Restrict Number of ML Model Queries']
421,SIS-AI Server,AML.T0010.002,Data,initial-access,ATLAS,"1,62014556","0,363636363","0,4","0,23565753558759936",Low,"['Control Access to ML Models and Data at Rest', 'Sanitize Training Data']"
422,SIS-AI Server,AML.T0036,Data from Information Repositories,collection,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,[]
423,SIS-AI Server,AML.T0037,Data from Local System,collection,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,[]
424,SIS-AI Server,AML.T0029,Denial of ML Service,impact,ATLAS,"2,2211673","0,281930547","0,30000000000000004","0,18786447356025393",Low,"['Restrict Number of ML Model Queries', 'Adversarial Input Detection']"
425,SIS-AI Server,AML.T0007,Discover ML Artifacts,discovery,ATLAS,"2,2211673","0,363636363",1,"0,8076971985865299",Low,['Encrypt Sensitive Information']
426,SIS-AI Server,AML.T0014,Discover ML Model Family,discovery,ATLAS,"2,83525473","0,363636363",1,"1,031001718195747",Low,"['Passive ML Output Obfuscation', 'Use Ensemble Methods', 'Restrict Number of ML Model Queries']"
427,SIS-AI Server,AML.T0013,Discover ML Model Ontology,discovery,ATLAS,"2,83525473","0,363636363",1,"1,031001718195747",Low,"['Passive ML Output Obfuscation', 'Restrict Number of ML Model Queries']"
428,SIS-AI Server,AML.T0031,Erode ML Model Integrity,impact,ATLAS,"2,2211673","0,501930547","0,19999999999999996","0,22297434357350254",Low,"['Use Ensemble Methods', 'Input Restoration', 'Model Hardening', 'Adversarial Input Detection']"
429,SIS-AI Server,AML.T0015,Evade ML Model,initial-access,ATLAS,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Model Hardening', 'Adversarial Input Detection', 'Use Ensemble Methods', 'Input Restoration', 'Use Multi-Modal Sensors']"
430,SIS-AI Server,AML.T0015,Evade ML Model,defense-evasion,ATLAS,"2,2211673","0,19596527399999997","0,19999999999999996","0,08705433170886799",Low,"['Model Hardening', 'Adversarial Input Detection', 'Use Ensemble Methods', 'Input Restoration', 'Use Multi-Modal Sensors']"
431,SIS-AI Server,AML.T0015,Evade ML Model,impact,ATLAS,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Model Hardening', 'Adversarial Input Detection', 'Use Ensemble Methods', 'Input Restoration', 'Use Multi-Modal Sensors']"
432,SIS-AI Server,AML.T0025,Exfiltration via Cyber Means,exfiltration,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,['Control Access to ML Models and Data at Rest']
433,SIS-AI Server,AML.T0024,Exfiltration via ML Inference API,exfiltration,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,['Restrict Number of ML Model Queries']
434,SIS-AI Server,AML.T0049,Exploit Public-Facing Application,initial-access,ATLAS,"2,2211673","0,363636363",1,"0,8076971985865299",Low,[]
435,SIS-AI Server,AML.T0024.002,Extract ML Model,exfiltration,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,"['Passive ML Output Obfuscation', 'Restrict Number of ML Model Queries']"
436,SIS-AI Server,AML.T0044,Full ML Model Access,ml-model-access,ATLAS,"0,70554726","0,22",1,"0,1552203972",Low,['Model Distribution Methods']
437,SIS-AI Server,AML.T0010.000,GPU Hardware,initial-access,ATLAS,"0,45653058","0,363636363",1,"0,16601111970948054",Low,[]
438,SIS-AI Server,AML.T0024.000,Infer Training Data Membership,exfiltration,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,"['Passive ML Output Obfuscation', 'Restrict Number of ML Model Queries']"
439,SIS-AI Server,AML.T0018.001,Inject Payload,persistence,ATLAS,"1,62014556","0,19596527399999997",1,"0,3174922685852834",Low,"['Control Access to ML Models and Data at Rest', 'Validate ML Model']"
440,SIS-AI Server,AML.T0018.001,Inject Payload,ml-attack-staging,ATLAS,"1,62014556","0,363636363",1,"0,5891438389689984",Low,"['Control Access to ML Models and Data at Rest', 'Validate ML Model']"
441,SIS-AI Server,AML.T0024.001,Invert ML Model,exfiltration,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,"['Passive ML Output Obfuscation', 'Restrict Number of ML Model Queries']"
442,SIS-AI Server,AML.T0035,ML Artifact Collection,collection,ATLAS,"2,2211673","0,583636363",1,"1,2963540045865298",Low,['Encrypt Sensitive Information']
443,SIS-AI Server,AML.T0045,ML Intellectual Property Theft,impact,ATLAS,"0,70554726","0,0",1,"0,0",None,"['Encrypt Sensitive Information', 'Control Access to ML Models and Data at Rest']"
444,SIS-AI Server,AML.T0040,ML Model Inference API Access,ml-model-access,ATLAS,"2,83525473","0,22",1,"0,6237560406",Low,[]
445,SIS-AI Server,AML.T0010.001,ML Software,initial-access,ATLAS,"1,62014556","0,363636363","0,5","0,2945719194844992",Low,"['Use Ensemble Methods', 'Code Signing']"
446,SIS-AI Server,AML.T0010,ML Supply Chain Compromise,initial-access,ATLAS,"0,514634472","0,363636363","0,5","0,09356990383625267",Low,['Verify ML Artifacts']
447,SIS-AI Server,AML.T0047,ML-Enabled Product or Service,ml-model-access,ATLAS,"2,83525473","0,22",1,"0,6237560406",Low,[]
448,SIS-AI Server,AML.T0010.003,Model,initial-access,ATLAS,"3,887042775","0,363636363","0,5","0,7067350487632137",Low,"['Model Distribution Methods', 'Code Signing', 'Use Ensemble Methods', 'Control Access to ML Models and Data at Rest', 'Validate ML Model']"
449,SIS-AI Server,AML.T0041,Physical Environment Access,ml-model-access,ATLAS,"0,5226276","0,22","0,4","0,045991228800000006",Low,['Use Multi-Modal Sensors']
450,SIS-AI Server,AML.T0018.000,Poison ML Model,persistence,ATLAS,"2,2211673","0,19596527399999997","0,4","0,17410866341773604",Low,"['Control Access to ML Models and Data at Rest', 'Sanitize Training Data', 'Validate ML Model']"
451,SIS-AI Server,AML.T0018.000,Poison ML Model,ml-attack-staging,ATLAS,"2,2211673","0,363636363","0,4","0,323078879434612",Low,"['Control Access to ML Models and Data at Rest', 'Sanitize Training Data', 'Validate ML Model']"
