rel_number;matrix;Technique;Mitigation;Efficiency
61;Enterprise;Modify System Image;Privileged Account Management;6
62;Enterprise;Compromise Software Supply Chain;Update Software;8
63;Enterprise;RDP Hijacking;Disable or Remove Feature or Program;6
64;Enterprise;Build Image on Host;Privileged Account Management;6
65;Enterprise;Additional Email Delegate Permissions;Privileged Account Management;6
66;Enterprise;Code Repositories;User Training;8
67;Enterprise;Windows Management Instrumentation Event Subscription;Privileged Account Management;6
68;Enterprise;Disable or Modify System Firewall;Restrict File and Directory Permissions;6
69;Enterprise;Fileless Storage;Audit;6
70;Enterprise;Path Interception by PATH Environment Variable;Audit;6
71;Enterprise;Create Account;Privileged Account Management;6
72;Enterprise;Gather Victim Org Information;Pre-compromise;5
73;Enterprise;SNMP (MIB Dump);Software Configuration;8
74;Enterprise;Time Providers;Restrict File and Directory Permissions;6
75;Enterprise;Native API;Execution Prevention;6
76;Enterprise;Msiexec;Privileged Account Management;6
77;Enterprise;Scheduled Task/Job;Privileged Account Management;6
78;Enterprise;Implant Internal Image;Audit;6
79;Enterprise;LSASS Memory;Behavior Prevention on Endpoint;5
80;Enterprise;Indicator Removal;Encrypt Sensitive Information;5
81;Enterprise;Mark-of-the-Web Bypass;Disable or Remove Feature or Program;6
82;Enterprise;Multi-Factor Authentication Request Generation;Multi-factor Authentication;8
83;Enterprise;Path Interception by Unquoted Path;Restrict File and Directory Permissions;6
84;Enterprise;Non-Application Layer Protocol;Network Segmentation;8
85;Enterprise;Cloud Accounts;Account Use Policies;5
86;Enterprise;Data from Configuration Repository;Network Intrusion Prevention;8
87;Enterprise;Acquire Access;Pre-compromise;5
88;Enterprise;XPC Services;Application Developer Guidance;5
89;Enterprise;Masquerading;Restrict File and Directory Permissions;6
90;Enterprise;Proc Memory;Restrict File and Directory Permissions;6
91;Enterprise;Phishing for Information;Software Configuration;8
92;Enterprise;Proxy;Network Intrusion Prevention;8
93;Enterprise;SIP and Trust Provider Hijacking;Execution Prevention;6
94;Enterprise;Data from Configuration Repository;Update Software;8
95;Enterprise;Standard Encoding;Network Intrusion Prevention;8
96;Enterprise;Command and Scripting Interpreter;Restrict Web-Based Content;5
97;Enterprise;Malicious Image;Code Signing;5
98;Enterprise;Reversible Encryption;Privileged Account Management;6
99;Enterprise;Network Boundary Bridging;Credential Access Protection;5
100;Enterprise;Unsecured Credentials;User Training;8
101;Enterprise;Steal or Forge Kerberos Tickets;Encrypt Sensitive Information;5
102;Enterprise;Regsvcs/Regasm;Disable or Remove Feature or Program;6
103;Enterprise;Dynamic Linker Hijacking;Operating System Configuration;7
104;Enterprise;Boot or Logon Initialization Scripts;Restrict Registry Permissions;5
105;Enterprise;Browser Extensions;Execution Prevention;6
106;Enterprise;Group Policy Modification;User Account Management;8
107;Enterprise;JavaScript;Behavior Prevention on Endpoint;5
108;Enterprise;Patch System Image;Boot Integrity;6
109;Enterprise;Cloud Account;Audit;6
110;Enterprise;Inter-Process Communication;Application Developer Guidance;5
111;Enterprise;Search Engines;Pre-compromise;5
112;Enterprise;Masquerading;Behavior Prevention on Endpoint;5
113;Enterprise;Protocol Impersonation;Network Intrusion Prevention;8
114;Enterprise;At;Privileged Account Management;6
115;Enterprise;Modify Authentication Process;Privileged Process Integrity;5
116;Enterprise;ARP Cache Poisoning;Limit Access to Resource Over Network;6
117;Enterprise;Create Snapshot;User Account Management;8
118;Enterprise;Unused/Unsupported Cloud Regions;Software Configuration;8
119;Enterprise;Acquire Infrastructure;Pre-compromise;5
120;Enterprise;Data Manipulation;Encrypt Sensitive Information;5
121;Enterprise;Create Cloud Instance;Audit;6
122;Enterprise;Password Spraying;Account Use Policies;5
123;Enterprise;Network Address Translation Traversal;Privileged Account Management;6
124;Enterprise;Web Service;Restrict Web-Based Content;5
125;Enterprise;Stored Data Manipulation;Encrypt Sensitive Information;5
126;Enterprise;Reversible Encryption;Password Policies;7
127;Enterprise;Phishing;User Training;8
128;Enterprise;Build Image on Host;Limit Access to Resource Over Network;6
129;Enterprise;Unsecured Credentials;Audit;6
130;Enterprise;CMSTP;Execution Prevention;6
131;Enterprise;At;Operating System Configuration;7
132;Enterprise;Password Guessing;Password Policies;7
133;Enterprise;Gather Victim Host Information;Pre-compromise;5
134;Enterprise;Pre-OS Boot;Privileged Account Management;6
135;Enterprise;Match Legitimate Name or Location;Code Signing;5
136;Enterprise;Proxy;SSL/TLS Inspection;8
137;Enterprise;Inter-Process Communication;Behavior Prevention on Endpoint;5
138;Enterprise;Indicator Removal;Restrict File and Directory Permissions;6
139;Enterprise;Additional Email Delegate Permissions;Multi-factor Authentication;8
140;Enterprise;TFTP Boot;Operating System Configuration;7
141;Enterprise;Clear Windows Event Logs;Restrict File and Directory Permissions;6
142;Enterprise;NTDS;Password Policies;7
143;Enterprise;Mavinject;Disable or Remove Feature or Program;6
144;Enterprise;VNC;Limit Software Installation;5
145;Enterprise;LSASS Memory;Privileged Process Integrity;5
146;Enterprise;Spearphishing Attachment;Restrict Web-Based Content;5
147;Enterprise;Employee Names;Pre-compromise;5
148;Enterprise;Exfiltration Over Alternative Protocol;Network Segmentation;8
149;Enterprise;/etc/passwd and /etc/shadow;Password Policies;7
150;Enterprise;Systemd Timers;Privileged Account Management;6
151;Enterprise;LLMNR/NBT-NS Poisoning and SMB Relay;Disable or Remove Feature or Program;6
152;Enterprise;Dynamic Resolution;Network Intrusion Prevention;8
153;Enterprise;Steal Application Access Token;User Account Management;8
154;Enterprise;Network Trust Dependencies;Pre-compromise;5
155;Enterprise;Sharepoint;User Training;8
156;Enterprise;Command Obfuscation;Behavior Prevention on Endpoint;5
157;Enterprise;Domain Account;Operating System Configuration;7
158;Enterprise;Device Registration;Multi-factor Authentication;8
159;Enterprise;XDG Autostart Entries;Restrict File and Directory Permissions;6
160;Enterprise;Exfiltration over USB;Data Loss Prevention;5
161;Enterprise;VNC;Audit;6
162;Enterprise;Cloud Accounts;User Training;8
163;Enterprise;Search Closed Sources;Pre-compromise;5
164;Enterprise;Remote Service Session Hijacking;Privileged Account Management;6
165;Enterprise;Traffic Duplication;User Account Management;8
166;Enterprise;Rundll32;Exploit Protection;6
167;Enterprise;LC_LOAD_DYLIB Addition;Audit;6
168;Enterprise;Traffic Signaling;Filter Network Traffic;7
169;Enterprise;Hijack Execution Flow;User Account Management;8
170;Enterprise;Vulnerabilities;Pre-compromise;5
171;Enterprise;Remote Desktop Protocol;Privileged Account Management;6
172;Enterprise;Credentials in Registry;Privileged Account Management;6
173;Enterprise;Adversary-in-the-Middle;Network Segmentation;8
174;Enterprise;Multi-Factor Authentication Request Generation;User Training;8
175;Enterprise;SMB/Windows Admin Shares;Filter Network Traffic;7
176;Enterprise;Email Forwarding Rule;Encrypt Sensitive Information;5
177;Enterprise;Office Application Startup;Update Software;8
178;Enterprise;COR_PROFILER;Restrict Registry Permissions;5
179;Enterprise;Outlook Rules;Update Software;8
180;Enterprise;Network Boundary Bridging;Password Policies;7
181;Enterprise;Domain Controller Authentication;Privileged Account Management;6
182;Enterprise;Malicious Link;Network Intrusion Prevention;8
183;Enterprise;Software Packing;Antivirus/Antimalware;5
184;Enterprise;Forced Authentication;Filter Network Traffic;7
185;Enterprise;Remote Service Session Hijacking;Disable or Remove Feature or Program;6
186;Enterprise;SQL Stored Procedures;Code Signing;5
187;Enterprise;Services Registry Permissions Weakness;Restrict Registry Permissions;5
188;Enterprise;Non-Application Layer Protocol;Network Intrusion Prevention;8
189;Enterprise;System Firmware;Update Software;8
190;Enterprise;Impair Defenses;Restrict File and Directory Permissions;6
191;Enterprise;Domain Trust Discovery;Audit;6
192;Enterprise;Hardware;Pre-compromise;5
193;Enterprise;Impair Defenses;Execution Prevention;6
194;Enterprise;DNS;Network Intrusion Prevention;8
195;Enterprise;Wordlist Scanning;Disable or Remove Feature or Program;6
196;Enterprise;ARP Cache Poisoning;User Training;8
197;Enterprise;User Execution;Behavior Prevention on Endpoint;5
198;Enterprise;Network Security Appliances;Pre-compromise;5
199;Enterprise;Credentials in Registry;Password Policies;7
200;Enterprise;Web Cookies;Software Configuration;8
201;Enterprise;Forge Web Credentials;Privileged Account Management;6
202;Enterprise;Hijack Execution Flow;Application Developer Guidance;5
203;Enterprise;Network Device Configuration Dump;Update Software;8
204;Enterprise;Spearphishing Service;User Training;8
205;Enterprise;Scheduled Task;Audit;6
206;Enterprise;Browser Extensions;User Training;8
207;Enterprise;Data Manipulation;Restrict File and Directory Permissions;6
208;Enterprise;Security Support Provider;Privileged Process Integrity;5
209;Enterprise;One-Way Communication;Restrict Web-Based Content;5
210;Enterprise;Exploitation of Remote Services;Disable or Remove Feature or Program;6
211;Enterprise;Disk Content Wipe;Data Backup;6
212;Enterprise;Container API;Limit Access to Resource Over Network;6
213;Enterprise;Logon Script (Windows);Restrict Registry Permissions;5
214;Enterprise;Credentials In Files;Audit;6
215;Enterprise;Double File Extension;User Training;8
216;Enterprise;NTFS File Attributes;Restrict File and Directory Permissions;6
217;Enterprise;Search Open Websites/Domains;Audit;6
218;Enterprise;Inter-Process Communication;Privileged Account Management;6
219;Enterprise;Cloud Infrastructure Discovery;User Account Management;8
220;Enterprise;Credentials from Password Stores;Password Policies;7
221;Enterprise;Software Deployment Tools;Multi-factor Authentication;8
222;Enterprise;Visual Basic;Execution Prevention;6
223;Enterprise;Local Account;Multi-factor Authentication;8
224;Enterprise;Network Topology;Pre-compromise;5
225;Enterprise;RDP Hijacking;Limit Access to Resource Over Network;6
226;Enterprise;Remote Desktop Protocol;Audit;6
227;Enterprise;Masquerading;Execution Prevention;6
228;Enterprise;Malicious Link;Restrict Web-Based Content;5
229;Enterprise;Clear Linux or Mac System Logs;Encrypt Sensitive Information;5
230;Enterprise;Indicator Blocking;Restrict File and Directory Permissions;6
231;Enterprise;Data from Cloud Storage;Multi-factor Authentication;8
232;Enterprise;Malicious Image;User Training;8
233;Enterprise;AppInit DLLs;Update Software;8
234;Enterprise;Local Account;Operating System Configuration;7
235;Enterprise;PowerShell Profile;Restrict File and Directory Permissions;6
236;Enterprise;Archive via Utility;Audit;6
237;Enterprise;Double File Extension;Operating System Configuration;7
238;Enterprise;Obfuscated Files or Information;Behavior Prevention on Endpoint;5
239;Enterprise;Msiexec;Disable or Remove Feature or Program;6
240;Enterprise;Domain Account;Network Segmentation;8
241;Enterprise;Exploitation for Privilege Escalation;Execution Prevention;6
242;Enterprise;Unix Shell;Execution Prevention;6
243;Enterprise;Windows Management Instrumentation;User Account Management;8
244;Enterprise;Create Process with Token;User Account Management;8
245;Enterprise;Exfiltration over USB;Limit Hardware Installation;8
246;Enterprise;OS Credential Dumping;Privileged Process Integrity;5
247;Enterprise;Path Interception by Unquoted Path;Audit;6
248;Enterprise;Trusted Developer Utilities Proxy Execution;Execution Prevention;6
249;Enterprise;Exploit Public-Facing Application;Vulnerability Scanning;8
250;Enterprise;Brute Force;Multi-factor Authentication;8
251;Enterprise;Email Forwarding Rule;Audit;6
252;Enterprise;Services File Permissions Weakness;User Account Control;8
253;Enterprise;Pass the Hash;User Account Control;8
254;Enterprise;Pass the Ticket;Privileged Account Management;6
255;Enterprise;Create Account;Multi-factor Authentication;8
256;Enterprise;Path Interception by PATH Environment Variable;Restrict File and Directory Permissions;6
257;Enterprise;Sudo and Sudo Caching;Privileged Account Management;6
258;Enterprise;System Services;Privileged Account Management;6
259;Enterprise;Proc Filesystem;Password Policies;7
260;Enterprise;Deploy Container;User Account Management;8
261;Enterprise;BITS Jobs;User Account Management;8
262;Enterprise;Subvert Trust Controls;Software Configuration;8
263;Enterprise;External Remote Services;Multi-factor Authentication;8
264;Enterprise;Downgrade System Image;Multi-factor Authentication;8
265;Enterprise;KernelCallbackTable;Behavior Prevention on Endpoint;5
266;Enterprise;Disk Structure Wipe;Data Backup;6
267;Enterprise;Python;Antivirus/Antimalware;5
268;Enterprise;Encrypted Channel;Network Intrusion Prevention;8
269;Enterprise;Dynamic Data Exchange;Application Isolation and Sandboxing;5
270;Enterprise;Command Obfuscation;Antivirus/Antimalware;5
271;Enterprise;Bypass User Account Control;Update Software;8
272;Enterprise;XDG Autostart Entries;User Account Management;8
273;Enterprise;VNC;Disable or Remove Feature or Program;6
274;Enterprise;Group Policy Preferences;Update Software;8
275;Enterprise;Malicious File;Behavior Prevention on Endpoint;5
276;Enterprise;Mail Protocols;Network Intrusion Prevention;8
277;Enterprise;Valid Accounts;Privileged Account Management;6
278;Enterprise;Python;Audit;6
279;Enterprise;Hijack Execution Flow;Restrict File and Directory Permissions;6
280;Enterprise;Exfiltration Over Alternative Protocol;Network Intrusion Prevention;8
281;Enterprise;Cloud Instance Metadata API;Disable or Remove Feature or Program;6
282;Enterprise;Unsecured Credentials;Password Policies;7
283;Enterprise;Web Services;Pre-compromise;5
284;Enterprise;Application Layer Protocol;Network Intrusion Prevention;8
285;Enterprise;Data from Information Repositories;User Training;8
286;Enterprise;Spearphishing Link;User Account Management;8
287;Enterprise;Verclsid;Filter Network Traffic;7
288;Enterprise;Make and Impersonate Token;User Account Management;8
289;Enterprise;Disk Wipe;Data Backup;6
290;Enterprise;Create or Modify System Process;Audit;6
291;Enterprise;Create Account;Network Segmentation;8
292;Enterprise;Gatekeeper Bypass;Execution Prevention;6
293;Enterprise;Multi-Factor Authentication;Audit;6
294;Enterprise;Serverless;Pre-compromise;5
295;Enterprise;Group Policy Preferences;Audit;6
296;Enterprise;Windows Service;Behavior Prevention on Endpoint;5
297;Enterprise;Application or System Exploitation;Filter Network Traffic;7
298;Enterprise;Valid Accounts;Password Policies;7
299;Enterprise;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Filter Network Traffic;7
300;Enterprise;Local Account;Privileged Account Management;6
301;Enterprise;External Remote Services;Disable or Remove Feature or Program;6
302;Enterprise;Executable Installer File Permissions Weakness;User Account Control;8
303;Enterprise;Container and Resource Discovery;User Account Management;8
304;Enterprise;Multi-Factor Authentication;Multi-factor Authentication;8
305;Enterprise;Re-opened Applications;Disable or Remove Feature or Program;6
306;Enterprise;Web Session Cookie;Software Configuration;8
307;Enterprise;Systemd Service;Limit Software Installation;5
308;Enterprise;LLMNR/NBT-NS Poisoning and SMB Relay;Network Intrusion Prevention;8
309;Enterprise;Automated Collection;Encrypt Sensitive Information;5
310;Enterprise;Link Target;Pre-compromise;5
311;Enterprise;OS Credential Dumping;Credential Access Protection;5
312;Enterprise;Silver Ticket;Privileged Account Management;6
313;Enterprise;Browser Session Hijacking;User Account Management;8
314;Enterprise;Multi-Factor Authentication Request Generation;Account Use Policies;5
315;Enterprise;Extra Window Memory Injection;Behavior Prevention on Endpoint;5
316;Enterprise;Dead Drop Resolver;Network Intrusion Prevention;8
317;Enterprise;Upload Tool;Pre-compromise;5
318;Enterprise;Component Object Model;Application Isolation and Sandboxing;5
319;Enterprise;Exfiltration Over Unencrypted Non-C2 Protocol;Network Segmentation;8
320;Enterprise;Malicious Image;Audit;6
321;Enterprise;DLL Side-Loading;Update Software;8
322;Enterprise;Gather Victim Network Information;Pre-compromise;5
323;Enterprise;Malvertising;Pre-compromise;5
324;Enterprise;Path Interception by Search Order Hijacking;Execution Prevention;6
325;Enterprise;Sharepoint;Audit;6
326;Enterprise;SID-History Injection;Active Directory Configuration;5
327;Enterprise;Spearphishing Link;User Training;8
328;Enterprise;Hardware Additions;Limit Hardware Installation;8
329;Enterprise;Steal Web Session Cookie;User Training;8
330;Enterprise;Remote Service Session Hijacking;Network Segmentation;8
331;Enterprise;DNS;Pre-compromise;5
332;Enterprise;Server Software Component;Code Signing;5
333;Enterprise;Network Address Translation Traversal;Password Policies;7
334;Enterprise;Trusted Relationship;Multi-factor Authentication;8
335;Enterprise;Multi-Factor Authentication;User Account Management;8
336;Enterprise;Odbcconf;Disable or Remove Feature or Program;6
337;Enterprise;Remote Services;User Account Management;8
338;Enterprise;Resource Forking;Application Developer Guidance;5
339;Enterprise;Password Managers;Password Policies;7
340;Enterprise;Startup Items;Restrict File and Directory Permissions;6
341;Enterprise;Additional Email Delegate Permissions;Disable or Remove Feature or Program;6
342;Enterprise;LSASS Memory;User Training;8
343;Enterprise;Container Administration Command;Disable or Remove Feature or Program;6
344;Enterprise;ARP Cache Poisoning;Filter Network Traffic;7
345;Enterprise;Masquerade File Type;Behavior Prevention on Endpoint;5
346;Enterprise;NTDS;Privileged Account Management;6
347;Enterprise;Adversary-in-the-Middle;Disable or Remove Feature or Program;6
348;Enterprise;Network Boundary Bridging;Filter Network Traffic;7
349;Enterprise;Email Hiding Rules;Audit;6
350;Enterprise;Domain Policy Modification;User Account Management;8
351;Enterprise;Search Victim-Owned Websites;Pre-compromise;5
352;Enterprise;Application Access Token;Audit;6
353;Enterprise;SSH Hijacking;Disable or Remove Feature or Program;6
354;Enterprise;Botnet;Pre-compromise;5
355;Enterprise;Container and Resource Discovery;Limit Access to Resource Over Network;6
356;Enterprise;Cloud Accounts;Multi-factor Authentication;8
357;Enterprise;SNMP (MIB Dump);Filter Network Traffic;7
358;Enterprise;Winlogon Helper DLL;Execution Prevention;6
359;Enterprise;Execution Guardrails;Do Not Mitigate;5
360;Enterprise;Patch System Image;Credential Access Protection;5
361;Enterprise;Malicious Image;Network Intrusion Prevention;8
362;Enterprise;Outlook Forms;Behavior Prevention on Endpoint;5
363;Enterprise;Application Access Token;Encrypt Sensitive Information;5
364;Enterprise;Screensaver;Execution Prevention;6
365;Enterprise;Remote Access Software;Network Intrusion Prevention;8
366;Enterprise;Template Injection;Disable or Remove Feature or Program;6
367;Enterprise;Cron;Audit;6
368;Enterprise;Service Stop;Restrict Registry Permissions;5
369;Enterprise;Abuse Elevation Control Mechanism;Execution Prevention;6
370;Enterprise;Network Provider DLL;Operating System Configuration;7
371;Enterprise;Exfiltration Over Physical Medium;Data Loss Prevention;5
372;Enterprise;Kernel Modules and Extensions;Execution Prevention;6
373;Enterprise;Malicious File;User Training;8
374;Enterprise;Abuse Elevation Control Mechanism;User Account Control;8
375;Enterprise;Dynamic Data Exchange;Behavior Prevention on Endpoint;5
376;Enterprise;Code Repositories;Audit;6
377;Enterprise;Web Cookies;Audit;6
378;Enterprise;Asynchronous Procedure Call;Behavior Prevention on Endpoint;5
379;Enterprise;Mavinject;Execution Prevention;6
380;Enterprise;Archive Collected Data;Audit;6
381;Enterprise;Exfiltration Over Physical Medium;Disable or Remove Feature or Program;6
382;Enterprise;Clear Command History;Restrict File and Directory Permissions;6
383;Enterprise;Exfiltration to Code Repository;Restrict Web-Based Content;5
384;Enterprise;Windows Management Instrumentation;Execution Prevention;6
385;Enterprise;Trusted Developer Utilities Proxy Execution;Disable or Remove Feature or Program;6
386;Enterprise;DLL Search Order Hijacking;Audit;6
387;Enterprise;Unsecured Credentials;Active Directory Configuration;5
388;Enterprise;Replication Through Removable Media;Disable or Remove Feature or Program;6
389;Enterprise;Obfuscated Files or Information;Audit;6
390;Enterprise;Shared Modules;Execution Prevention;6
391;Enterprise;Credentials In Files;User Training;8
392;Enterprise;Remote Desktop Protocol;Disable or Remove Feature or Program;6
393;Enterprise;Exfiltration Over Web Service;Restrict Web-Based Content;5
394;Enterprise;Systemd Timers;User Account Management;8
395;Enterprise;Valid Accounts;User Account Management;8
396;Enterprise;Inter-Process Communication;Software Configuration;8
397;Enterprise;Exfiltration Over Bluetooth;Operating System Configuration;7
398;Enterprise;Cloud Account;Network Segmentation;8
399;Enterprise;LSA Secrets;User Training;8
400;Enterprise;Adversary-in-the-Middle;Filter Network Traffic;7
401;Enterprise;Inter-Process Communication;Disable or Remove Feature or Program;6
402;Enterprise;Build Image on Host;Audit;6
403;Enterprise;Compromise Client Software Binary;Code Signing;5
404;Enterprise;Data from Local System;Data Loss Prevention;5
405;Enterprise;Subvert Trust Controls;Execution Prevention;6
406;Enterprise;Cloud API;Execution Prevention;6
407;Enterprise;Stage Capabilities;Pre-compromise;5
408;Enterprise;Command and Scripting Interpreter;Code Signing;5
409;Enterprise;Disable Windows Event Logging;Audit;6
410;Enterprise;Deploy Container;Network Segmentation;8
411;Enterprise;OS Credential Dumping;Encrypt Sensitive Information;5
412;Enterprise;Exfiltration Over Unencrypted Non-C2 Protocol;Network Intrusion Prevention;8
413;Enterprise;Exploits;Pre-compromise;5
414;Enterprise;Windows Management Instrumentation Event Subscription;Behavior Prevention on Endpoint;5
415;Enterprise;Data from Configuration Repository;Network Segmentation;8
416;Enterprise;Kerberoasting;Password Policies;7
417;Enterprise;Software Deployment Tools;Privileged Account Management;6
418;Enterprise;Cloud Account;Multi-factor Authentication;8
419;Enterprise;Network Device CLI;User Account Management;8
420;Enterprise;Spearphishing via Service;User Training;8
421;Enterprise;Remote Access Software;Execution Prevention;6
422;Enterprise;Taint Shared Content;Execution Prevention;6
423;Enterprise;Drive-by Compromise;Application Isolation and Sandboxing;5
424;Enterprise;Domains;Pre-compromise;5
425;Enterprise;Data Encoding;Network Intrusion Prevention;8
426;Enterprise;SAML Tokens;User Account Management;8
427;Enterprise;Server Software Component;User Account Management;8
428;Enterprise;Asymmetric Cryptography;SSL/TLS Inspection;8
429;Enterprise;Replication Through Removable Media;Behavior Prevention on Endpoint;5
430;Enterprise;Brute Force;User Account Management;8
431;Enterprise;Software Deployment Tools;User Account Management;8
432;Enterprise;Cloud Accounts;Privileged Account Management;6
433;Enterprise;Container Orchestration Job;User Account Management;8
434;Enterprise;Impair Defenses;Restrict Registry Permissions;5
435;Enterprise;Clear Persistence;Remote Data Storage;6
436;Enterprise;Credential Stuffing;Password Policies;7
437;Enterprise;Non-Standard Port;Network Segmentation;8
438;Enterprise;Plist File Modification;Application Developer Guidance;5
439;Enterprise;Wordlist Scanning;Pre-compromise;5
440;Enterprise;Internal Proxy;Network Intrusion Prevention;8
441;Enterprise;Windows Command Shell;Execution Prevention;6
442;Enterprise;Disable Windows Event Logging;Restrict File and Directory Permissions;6
443;Enterprise;Exploitation of Remote Services;Threat Intelligence Program;8
444;Enterprise;Patch System Image;Password Policies;7
445;Enterprise;Spearphishing Attachment;User Training;8
446;Enterprise;Serverless;Pre-compromise;5
447;Enterprise;Automated Collection;Remote Data Storage;6
448;Enterprise;SNMP (MIB Dump);Network Intrusion Prevention;8
449;Enterprise;System Binary Proxy Execution;Disable or Remove Feature or Program;6
450;Enterprise;Junk Data;Network Intrusion Prevention;8
451;Enterprise;AS-REP Roasting;Audit;6
452;Enterprise;Python;Execution Prevention;6
453;Enterprise;Account Manipulation;Multi-factor Authentication;8
454;Enterprise;Exploitation of Remote Services;Network Segmentation;8
455;Enterprise;Impair Command History Logging;Operating System Configuration;7
456;Enterprise;Identify Business Tempo;Pre-compromise;5
457;Enterprise;Security Account Manager;Operating System Configuration;7
458;Enterprise;Abuse Elevation Control Mechanism;Restrict File and Directory Permissions;6
459;Enterprise;OS Credential Dumping;Password Policies;7
460;Enterprise;WHOIS;Pre-compromise;5
461;Enterprise;Compromise Hardware Supply Chain;Boot Integrity;6
462;Enterprise;Exploit Public-Facing Application;Exploit Protection;6
463;Enterprise;Password Spraying;Multi-factor Authentication;8
464;Enterprise;Phishing;Network Intrusion Prevention;8
465;Enterprise;Pass the Ticket;User Account Management;8
466;Enterprise;Unsecured Credentials;Operating System Configuration;7
467;Enterprise;Disable Cloud Logs;User Account Management;8
468;Enterprise;SIP and Trust Provider Hijacking;Restrict Registry Permissions;5
469;Enterprise;Application Access Token;Restrict Web-Based Content;5
470;Enterprise;Compromise Accounts;Pre-compromise;5
471;Enterprise;OS Credential Dumping;User Training;8
472;Enterprise;Visual Basic;Disable or Remove Feature or Program;6
473;Enterprise;Domain Controller Authentication;Multi-factor Authentication;8
474;Enterprise;Scheduled Task/Job;User Account Management;8
475;Enterprise;Keychain;Password Policies;7
476;Enterprise;Code Repositories;Multi-factor Authentication;8
477;Enterprise;Scheduled Transfer;Network Intrusion Prevention;8
478;Enterprise;Cloud Account;User Account Management;8
479;Enterprise;Verclsid;Execution Prevention;6
480;Enterprise;Credential Stuffing;Multi-factor Authentication;8
481;Enterprise;Exploitation for Privilege Escalation;Exploit Protection;6
482;Enterprise;Gather Victim Identity Information;Pre-compromise;5
483;Enterprise;Spearphishing Attachment;Software Configuration;8
484;Enterprise;Web Service;Network Intrusion Prevention;8
485;Enterprise;Access Token Manipulation;User Account Management;8
486;Enterprise;Dead Drop Resolver;Restrict Web-Based Content;5
487;Enterprise;SSH Authorized Keys;Restrict File and Directory Permissions;6
488;Enterprise;Non-Standard Encoding;Network Intrusion Prevention;8
489;Enterprise;Control Panel;Restrict File and Directory Permissions;6
490;Enterprise;Exploitation for Client Execution;Application Isolation and Sandboxing;5
491;Enterprise;At;Audit;6
492;Enterprise;Windows Management Instrumentation;Behavior Prevention on Endpoint;5
493;Enterprise;TFTP Boot;Audit;6
494;Enterprise;Install Root Certificate;Software Configuration;8
495;Enterprise;Password Spraying;Password Policies;7
496;Enterprise;Disable or Modify System Firewall;Audit;6
497;Enterprise;SMB/Windows Admin Shares;Privileged Account Management;6
498;Enterprise;Transfer Data to Cloud Account;Filter Network Traffic;7
499;Enterprise;Data from Information Repositories;Audit;6
500;Enterprise;LSASS Memory;Password Policies;7
501;Enterprise;Kernel Modules and Extensions;User Account Management;8
502;Enterprise;Application Shimming;User Account Control;8
503;Enterprise;Accessibility Features;Operating System Configuration;7
504;Enterprise;Windows Service;Operating System Configuration;7
505;Enterprise;Determine Physical Locations;Pre-compromise;5
506;Enterprise;Exploitation of Remote Services;Vulnerability Scanning;8
507;Enterprise;Search Open Websites/Domains;Application Developer Guidance;5
508;Enterprise;Modify System Image;Boot Integrity;6
509;Enterprise;Pass the Hash;Update Software;8
510;Enterprise;At;User Account Management;8
511;Enterprise;AppleScript;Code Signing;5
512;Enterprise;Network Service Discovery;Network Intrusion Prevention;8
513;Enterprise;Launch Daemon;User Account Management;8
514;Enterprise;Exfiltration to Text Storage Sites;Restrict Web-Based Content;5
515;Enterprise;Cloud Accounts;Password Policies;7
516;Enterprise;Cloud Services;Multi-factor Authentication;8
517;Enterprise;Transmitted Data Manipulation;Encrypt Sensitive Information;5
518;Enterprise;Template Injection;Antivirus/Antimalware;5
519;Enterprise;Container Administration Command;Privileged Account Management;6
520;Enterprise;DNS Server;Pre-compromise;5
521;Enterprise;Hijack Execution Flow;Audit;6
522;Enterprise;Escape to Host;Execution Prevention;6
523;Enterprise;Unsecured Credentials;Limit Access to Resource Over Network;6
524;Enterprise;Clear Linux or Mac System Logs;Remote Data Storage;6
525;Enterprise;Local Accounts;Privileged Account Management;6
526;Enterprise;Domains;Pre-compromise;5
527;Enterprise;Outlook Home Page;Behavior Prevention on Endpoint;5
528;Enterprise;Safe Mode Boot;Software Configuration;8
529;Enterprise;Match Legitimate Name or Location;Execution Prevention;6
530;Enterprise;PowerShell;Antivirus/Antimalware;5
531;Enterprise;Cloud Instance Metadata API;Limit Access to Resource Over Network;6
532;Enterprise;DNS Server;Pre-compromise;5
533;Enterprise;Confluence;User Training;8
534;Enterprise;Dylib Hijacking;Restrict File and Directory Permissions;6
535;Enterprise;Regsvr32;Exploit Protection;6
536;Enterprise;Clear Persistence;Restrict File and Directory Permissions;6
537;Enterprise;SIP and Trust Provider Hijacking;Restrict File and Directory Permissions;6
538;Enterprise;Service Execution;Privileged Account Management;6
539;Enterprise;Malicious Link;User Training;8
540;Enterprise;Remote Service Session Hijacking;User Account Management;8
541;Enterprise;JavaScript;Restrict Web-Based Content;5
542;Enterprise;Remote Desktop Protocol;Network Segmentation;8
543;Enterprise;Spearphishing Link;Audit;6
544;Enterprise;Obfuscated Files or Information;Antivirus/Antimalware;5
545;Enterprise;Network Device Configuration Dump;Software Configuration;8
546;Enterprise;Server Software Component;Disable or Remove Feature or Program;6
547;Enterprise;Container API;User Account Management;8
548;Enterprise;Steal or Forge Authentication Certificates;Audit;6
